system_id,system_name,system_description,system_effect
1,天气系统,影响战斗中特定属性技能的威力和状态效果的持续时间,"根据天气类型（晴天、雨天、沙暴、冰雹）调整战斗效果。"
2,昼夜系统,影响特定宝可梦的出现率和进化方式,"白天和夜晚会影响某些宝可梦的出现，以及部分宝可梦的进化条件。"
3,友好度系统,影响宝可梦在战斗中的表现和学习技能,"友好度高的宝可梦在战斗中更容易回避攻击或击中要害，并可能学习特殊技能。"
4,特性系统,为宝可梦提供独特的被动能力,"每个宝可梦都有一个或多个特性，在战斗中自动生效，提供各种增益或效果。"
5,道具系统,允许玩家使用各种道具来恢复宝可梦状态、捕捉宝可梦或在战斗中提供帮助,"玩家可以使用背包中的道具来治疗宝可梦、捕捉野生宝可梦或在战斗中改变局势。"
6,技能学习系统,宝可梦通过升级、技能机或遗传学习新技能,"宝可梦可以通过战斗升级、使用技能机或通过遗传获得新的技能。"
7,进化系统,宝可梦通过升级、道具或特定条件进化成更强的形态,"宝可梦达到一定等级、使用特定道具或满足特定条件后会进化，改变形态和能力。"
8,属性克制系统,不同属性之间存在克制关系，影响技能伤害,"技能的属性与目标宝可梦的属性之间存在克制关系，影响造成的伤害倍数。"
9,状态效果系统,战斗中宝可梦可能受到各种状态效果影响,"宝可梦可能陷入中毒、麻痹、灼伤等状态，影响其战斗能力。"
10,场地效果系统,特定技能或特性可以在场地上产生持续效果,"某些技能或特性可以在战斗场地上产生持续效果，影响所有宝可梦。"
