task_id,name,description,reward_money,reward_item_id,reward_item_quantity,prerequisite_task_id,start_dialog_id,completion_dialog_id
601,新手任务：捕捉宝可梦,在森林中捕捉一只宝可梦,100,210,1,0,403,404
602,新手任务：击败劲敌,在村口击败你的劲敌,200,202,1,601,405,405
603,研究员的请求：收集数据,帮助宝可梦研究员收集5只不同宝可梦的数据,300,0,0,602,407,408
604,森林探险：寻找道具,在森林的特定区域找到隐藏的伤药,50,201,1,601,406,0
605,钓鱼比赛：初级,在钓鱼比赛中钓到至少3条鱼,150,203,1,602,409,410
606,农场帮忙：喂食,帮助农场主喂食宝可梦,100,0,0,602,411,412
607,城镇巡逻：可疑人员,在城镇中找到并与可疑人员对话,250,0,0,602,413,414
608,寻找失踪宠物：绿毛虫,帮助小女孩寻找她失踪的绿毛虫,300,204,1,602,415,416
609,挑战训练师A,在村口挑战并击败训练师A,180,0,0,602,0,0
610,挑战训练师B,在森林入口挑战并击败训练师B,220,0,0,603,0,0
